Node Index,Latitude,Longitude,Fraction Strike-Slip,Fraction Reverse,Fraction Normal
0,31.6,-117.20000000000002,0.5,0.366526,0.133474
1,31.6,-117.1,0.5,0.338604,0.161396
2,31.6,-117.0,0.5,0.312502,0.187498
3,31.6,-116.9,0.5,0.289002,0.210998
4,31.6,-116.80000000000001,0.5,0.267631,0.232369
5,31.6,-116.69999999999999,0.5,0.247084,0.252916
6,31.6,-116.6,0.5,0.225988,0.274012
7,31.6,-116.5,0.5,0.203536,0.296464
8,31.6,-116.4,0.5,0.179748,0.320252
9,31.6,-116.3,0.5,0.155264,0.344736
10,31.6,-116.2,0.5,0.131017,0.368983
11,31.6,-116.10000000000001,0.5,0.107936,0.392064
12,31.6,-116.00000000000001,0.5,0.086763,0.413237
13,31.6,-115.90000000000002,0.5,0.067988,0.432012
14,31.6,-115.8,0.5,0.051853,0.448147
15,31.7,-117.5,0.5,0.467322,0.032678
16,31.7,-117.4,0.5,0.454108,0.045892
17,31.7,-117.30000000000001,0.5,0.436571,0.063429
18,31.7,-117.20000000000002,0.5,0.415487,0.084513
19,31.7,-117.1,0.5,0.392097,0.107903
20,31.7,-117.0,0.5,0.367795,0.132205
21,31.7,-116.9,0.5,0.343604,0.156396
22,31.7,-116.80000000000001,0.5,0.319743,0.180257
23,31.7,-116.69999999999999,0.5,0.295712,0.204288
24,31.7,-116.6,0.5,0.270775,0.229225
25,31.7,-116.5,0.5,0.24446,0.25554
26,31.7,-116.4,0.5,0.216845,0.283155
27,31.7,-116.3,0.5,0.188494,0.311506
28,31.7,-116.2,0.5,0.160265,0.339735
29,31.7,-116.10000000000001,0.5,0.133097,0.366903
30,31.7,-116.00000000000001,0.5,0.107827,0.392173
31,31.7,-115.90000000000002,0.5,0.085084,0.414916
32,31.7,-115.8,0.5,0.065261,0.434739
33,31.7,-115.7,0.5,0.048527,0.451473
34,31.7,-115.59999999999998,0.5,0.034863,0.465137
35,31.7,-115.49999999999999,0.5,0.024097,0.475903
36,31.7,-115.39999999999999,0.5,0.015948,0.484052
37,31.7,-115.3,0.5,0.010058,0.489942
38,31.7,-115.2,0.5,0.006016,0.493984
39,31.7,-115.1,0.5,0.003399,0.496601
40,31.7,-115.0,0.5,0.001807,0.498193
